day_of_week,table_slot,table_size,slope,intercept,observation_count,,,0.1,0.2,0.4,0.2,0.1,,
4,15:00,4,1.85E-07,0.4868865447,1966,,,,,,,,,
4,15:30,2,-3.79E-08,0.07109098989,1948,,,,,,,,,
4,15:30,4,7.25E-08,0.82904688,1932,,,,,,,,,
4,15:45,2,1.44E-08,0.9415440392,1983,,,,,,,,,
4,15:45,4,2.19E-07,0.3922171993,1966,,,,,,,,,
4,17:00,2,2.64E-08,0.9497134461,2001,,,,,,,,,
4,17:00,4,5.89E-08,0.8863720115,1975,,,,,,,,,
4,17:30,2,5.30E-08,0.8841121088,2001,,,,,,,,,
4,17:30,4,5.55E-08,0.8528631437,1983,,,,,,,,,
4,18:00,2,1.85E-07,0.5557220127,2001,,,,,,,,,
4,18:00,4,2.72E-07,0.3285971547,1983,,,,,,,,,
4,19:00,2,1.38E-08,0.04773137932,2001,,,,,,,,,
4,19:00,4,2.54E-07,-0.03432355225,1983,,,,,,,,,
4,19:30,2,3.40E-07,0.09331843812,2001,,,,,,,,,
4,19:30,4,3.54E-07,-0.07502391057,1983,,,,,,,,,
4,20:00,2,2.13E-07,0.4513937922,2001,,,,,,,,,
4,20:00,4,2.17E-07,-0.0147070249,1983,,,,,,,,,
4,20:30,2,2.64E-07,0.01447610841,2001,,,,,,,,,
4,20:30,4,-6.32E-09,0.01141296486,1983,,,,,,,,,
4,21:00,2,3.05E-08,0.8924078237,2001,,,,,,,,,
4,21:00,4,2.09E-07,0.2562369844,1983,,,,,,,,,
4,21:30,2,7.10E-08,0.8499022026,2001,,,,,,,,,
4,21:30,4,1.73E-07,-0.01739577383,1983,,,,,,,,,
4,22:00,2,4.85E-09,0.9910317631,2001,,,,,,,,,
4,22:00,4,9.20E-09,0.9826953727,1983,,,,,,,,,
4,22:30,2,0,1,2001,,,,,,,,,
4,22:30,4,0,1,1983,,,,,,,,,
4,22:45,2,-1.41E-08,0.8895733062,2013,,,,,,,,,
4,23:00,2,2.55E-08,0.9522645563,2014,,,,,,,,,
4,23:00,4,0,1,1988,,,,,,,,,
5,8:00,2,0,1,1958,,,,,,,,,
5,8:00,4,0,1,1939,,,,,,,,,
5,8:30,2,3.20E-09,0.9942936838,1958,,,,,,,,,
5,8:30,4,0,1,1939,,,,,,,,,
5,9:00,2,1.52E-07,0.706948155,1958,,,,,,,,,
5,9:00,4,1.45E-07,0.7207039423,1939,,,,,,,,,
5,9:30,2,1.63E-08,0.970077331,1958,,,,,,,,,
5,9:30,4,7.32E-08,0.8563565679,1939,,,,,,,,,
5,10:00,2,6.02E-08,0.8716816563,1958,,,,,,,,,
